"","year","scenario","breed_start","breed_end","precip_start","precip_end","avg_min_temp","precipitation","mean_April_temp"
"35",2059,1,108,129,119,139,2.52758730381818,0.11913403857143,5.6948697176
"36",2060,1,104,125,115,135,2.48763641509091,0.150932313809525,6.9477369864
"37",2061,1,105,126,116,136,1.59650964709091,0.101729759523811,6.4317786568
"38",2062,1,107,128,118,138,2.17232957454545,0.136365312857144,5.8897782664
"39",2063,1,104,125,115,135,3.25252947218182,0.120275870000001,7.0075523448
"40",2064,1,104,125,115,135,1.82081724109091,0.126850050952382,6.9013495656
"41",2065,1,106,127,117,137,2.15942876672727,0.11951464904762,6.2159143872
"42",2066,1,106,127,117,137,2.45739581181818,0.104705441428572,6.3676907728
"43",2067,1,103,124,114,134,2.16456134618182,0.121867513809525,7.0662487084
"44",2068,1,105,126,116,136,2.05636102254545,0.104290230000001,6.451005022
"45",2069,1,106,127,117,137,2.17635240709091,0.11844201952381,6.2148971192
"46",2070,1,105,126,116,136,2.11809069436364,0.120760283333334,6.5139739112
"47",2071,1,108,129,119,139,1.94774454381818,0.125500613809525,5.6675052084
"48",2072,1,106,127,117,137,2.06662618145455,0.118026808095239,6.1297517876
"49",2073,1,106,127,117,137,2.44491115909091,0.110933612857144,6.2805109052
"50",2074,1,102,123,113,133,2.55685687854545,0.119237841428572,7.6195407736
"51",2075,1,105,126,116,136,2.31853872981818,0.130448550000001,6.6418444988
"52",2076,1,108,129,119,139,2.53188757309091,0.123389955714287,5.55428328
"53",2077,1,106,127,117,137,2.64910459036364,0.124531787142858,6.3386986348
"54",2078,1,105,126,116,136,2.29079505709091,0.115258731904763,6.548154116
"55",2079,1,105,126,116,136,2.56462510690909,0.124254979523811,6.6357408908
"56",2080,1,107,128,118,138,1.95357071509091,0.12280173952381,5.9279258164
"57",2081,1,107,128,118,138,2.35030523509091,0.119376245238096,5.8872350964
"58",2082,1,105,126,116,136,2.21158687145455,0.138302966190477,6.4563965424
"59",2083,1,108,129,119,139,2.65701153709091,0.14387371952381,5.5501124812
"60",2084,1,106,127,117,137,1.77864685854545,0.118407418571429,6.130565602
"61",2085,1,107,128,118,138,2.39538870327273,0.135396486190477,5.93321561
"62",2086,1,105,126,116,136,2.19216630054545,0.132386203333334,6.4010571632
"63",2087,1,106,127,117,137,1.97410103290909,0.157264288095239,6.2688123232
"64",2088,1,106,127,117,137,1.95190609472727,0.11297506904762,6.2350390256
"65",2089,1,107,128,118,138,2.24474056036364,0.135984702380953,5.8741123392
"66",2090,1,107,128,118,138,2.45864427709091,0.107577320476191,5.9636319232
"67",2091,1,105,126,116,136,2.78116447254545,0.141036441428572,6.5056323136
"68",2092,1,104,125,115,135,2.08230135654545,0.126884651904763,6.7415367628
"69",2093,1,105,126,116,136,2.29759225690909,0.162246825238096,6.5010546076
"70",2094,1,106,127,117,137,1.99879290163636,0.124151176666667,6.0815332844
"71",2095,1,108,129,119,139,2.45836684036364,0.117023380476191,5.596499902
"72",2096,1,107,128,118,138,2.26970986581818,0.131555780476192,6.0202937508
"73",2097,1,104,125,115,135,2.26873883727273,0.122213523333334,6.850282712
"74",2098,1,108,129,119,139,2.81001789218182,0.117611596666668,5.4316007592
"75",2099,1,106,127,117,137,1.95273840490909,0.132282400476191,6.0734968672
"76",2100,1,109,130,120,140,1.96716511472727,0.117473192857144,5.163652368
"77",2025,2,110,131,121,141,1.62439203818182,0.101522153809525,5.029881626
"78",2026,2,111,132,122,142,2.00697728509091,0.126504041428572,4.7351790864
"79",2027,2,107,128,118,138,1.82705956745455,0.106262484285715,5.8334216192
"80",2028,2,108,129,119,139,1.54088358327273,0.132628410000001,5.4661878712
"81",2029,2,112,133,123,143,2.07689134036364,0.119064836666668,4.272016966
"82",2030,2,107,128,118,138,2.328526452,0.128268690000001,5.8352527016
"83",2031,2,109,130,120,140,1.66711729418182,0.123943570952382,5.369649138
"84",2032,2,107,128,118,138,2.16261928909091,0.11698877952381,5.7917136312
"85",2033,2,106,127,117,137,2.351414982,0.122386528095239,6.1374830244
"86",2034,2,108,129,119,139,2.12766226145455,0.119583850952382,5.431193852
"87",2035,2,107,128,118,138,1.98256285309091,0.114739717619048,5.8939490652
"88",2036,2,107,128,118,138,1.61412687927273,0.125189205238096,5.7792012348
"89",2037,2,109,130,120,140,2.43062316763636,0.113078871904763,5.2781967448
"90",2038,2,106,127,117,137,2.02417836218182,0.11370168904762,6.3092995896
