year,scenario,breedingSeasonStart,breedingSeasonEnd,tempIndex,precipIndex,survivorship,survivorshipT,survivorshipP
2053,SSP126,113,135,1.3625518202502904,0.2545220200661336,0.6790995479046863,0.6892269766980218,0.7148022314317387
2054,SSP126,115,137,1.5652464445875287,0.21234263872970374,0.6178604088759169,0.67100057735869,0.6755633608334713
2055,SSP126,111,133,1.2226182086087043,0.18459304574521493,0.6224986557470177,0.7014801753343577,0.6482840696034846
2056,SSP126,107,129,0.8815415301134342,0.23973871241018788,0.7075506429305095,0.7301447648225797,0.7013751114114647
2057,SSP126,109,131,0.37877937001059636,0.3184570823023966,0.808036817624551,0.769093330372838,0.7684890962950452
2058,SSP126,112,134,1.0240262624294973,0.3512095304792322,0.7882647013748066,0.7183828412621057,0.793103829368701
2059,SSP126,112,134,1.8606186198208017,0.23391794727514786,0.6113967639663388,0.6435044842609579,0.6959898563576993
2060,SSP126,106,128,0.7745550149013368,0.5455257813356313,0.9064968808377669,0.7387699872663877,0.9000429205861258
2061,SSP126,108,130,0.2567992090593683,0.3234520090396088,0.819014048831701,0.7779267778348802,0.7723714898658215
2062,SSP126,112,134,1.465609032516454,0.44296698333353557,0.822765110969066,0.6800287750011418,0.8515721061727949
2063,SSP126,109,131,2.5402527247932047,0.3144611409126304,0.62859435873931,0.5767991034734959,0.765350031616576
2064,SSP126,108,130,0.3960800079342275,0.27019816811306613,0.771723338304197,0.7678207587961973,0.7286364032827808
2065,SSP126,109,131,0.8864403310540745,0.30174678194519,0.760240831285091,0.7297455545326035,0.755166968020876
2066,SSP126,112,134,1.5473443048642799,0.1746031922707957,0.579817247948378,0.672632281905174,0.6382098012425511
2067,SSP126,107,129,1.2873394630646622,0.23904381603932362,0.6709990798094723,0.6958473438313529,0.700735090873038
2068,SSP126,108,130,0.6914415602820533,0.2794244471348783,0.7570387329515698,0.7453463035769089,0.7365788297996962
2069,SSP126,111,133,1.4967498200869649,0.21123265501032812,0.623378926650541,0.6772211488036484,0.6744932851057318
2070,SSP126,110,132,1.238101914787911,0.3219535310184462,0.7497776055398984,0.7001380524892217,0.7712116125151611
2071,SSP126,111,133,0.8773662952173997,0.26201441017194355,0.727730632333208,0.7304847170892067,0.7214669724914688
2072,SSP126,109,131,0.6896246285376292,0.22392906838001544,0.7095866040304049,0.7454888434766491,0.6866224199409514
2073,SSP126,110,132,1.8564239426139981,0.15861942671172932,0.5309617865476388,0.6439021936308075,0.6218383680759496
2074,SSP126,108,130,1.2864513412332814,0.2435377687927996,0.6754246753801345,0.695925043058261,0.7048602096951476
2075,SSP126,110,132,0.9841387471357372,0.30363879964868046,0.7543459294710391,0.7217067641880451,0.7567010406729323
2076,SSP126,113,135,1.8358061264294971,0.2841073553557518,0.6646337353851003,0.6458541346282394,0.7405524982484045
2077,SSP126,109,131,1.5632773834019007,0.20534120296130995,0.6107631677502785,0.6711802519085897,0.6687833289430308
2078,SSP126,110,132,1.4789290565270414,0.25452202006613134,0.6685261287923224,0.6788294340557,0.7148022314317367
2079,SSP126,110,132,1.543415001918346,0.32500598624673727,0.7280249474594381,0.6729898650218067,0.7735699385966515
2080,SSP126,112,134,0.9682569795652259,0.26451187354054545,0.7224286331151901,0.7230235004418002,0.7236671830638499
2081,SSP126,110,132,1.2934324481792154,0.2509542152538369,0.681903029859733,0.6953139849090881,0.7115950757533713
2082,SSP126,107,129,0.7433222282820535,0.2597119295044966,0.7366121922957689,0.7412540925673955,0.719429036887458
2083,SSP126,112,134,1.8254565302555843,0.30356311894053883,0.6843410186963883,0.6468321332134122,0.7566398031608788
2084,SSP126,111,133,1.2432767128748676,0.2509542152538416,0.686383484953388,0.6996887342371865,0.71159507575337555
2085,SSP126,112,134,1.7588475907773233,0.36395632403587513,0.7439766318046812,0.6530967622969168,0.8021451016562143
2086,SSP126,108,130,0.843010951320238,0.3907202045972768,0.8267786575600625,0.7332716853979178,0.8201516419242032
2087,SSP126,110,132,0.9100993283531285,0.428678465636793,0.8458020574540949,0.7278123226613216,0.8434586836629983
2088,SSP126,110,132,0.9006378540105965,0.40312109049808015,0.8311279228535632,0.7285864797842477,0.8280505361744903
2089,SSP126,112,134,1.4548613749512365,0.3731515300748288,0.7743115697865866,0.6809947677624613,0.8084803404591127
2090,SSP126,113,135,1.9153264056415946,0.17246250938342228,0.5400370906542818,0.6382995192289067,0.6360347717963556
2091,SSP126,109,131,1.2868900907062482,0.44432923608004804,0.8341132492374093,0.6958866595244895,0.8523272173805598
2092,SSP126,106,128,0.6673438135100326,0.394240201117412,0.8390338374252678,0.747232515803659,0.8224221308528332
2093,SSP126,110,132,1.675173322440085,0.3940469735921489,0.7744430787358202,0.6608916647227802,0.8222980792986274
2094,SSP126,110,132,1.0061648107879113,0.3993748954451747,0.8225257116445752,0.7198742610366636,0.8256937466532429
2095,SSP126,113,135,1.7989597922502905,0.5719773638087052,0.8770031325931646,0.6493303648302812,0.9100256964482358
2096,SSP126,112,134,1.4901154635652258,0.3290616959906227,0.7358448461046629,0.6778203778753216,0.7766766957045989
2097,SSP126,109,131,1.3875996227062484,0.3679782130970051,0.775196460120292,0.6870047267316749,0.8049353067439164
2098,SSP126,113,135,2.3084783731198555,0.45860045532921323,0.7782432113403458,0.5999993501780936,0.8600481030418241
2099,SSP126,111,133,1.1469865442608784,0.36940533502192135,0.793086377163869,0.7079859590747464,0.8059181860791709
2100,SSP126,111,133,0.6395909574782692,0.2567419875048928,0.7423587394977321,0.7493933406419357,0.7167869398427457
2000,SSP245,117,139,0.24106957093006104,0.14463363184754913,0.6748773969106922,0.7790481189434812,0.6072804387442976
2001,SSP245,119,141,1.3297568532620054,0.2145626061684634,0.6428106025497203,0.6921234078828482,0.6776980104902683
2002,SSP245,119,141,2.0214548642185273,0.29510579980595136,0.6582714803313503,0.6281101251256321,0.7497308198856428
2003,SSP245,117,139,0.9702260407508541,0.28574031217368584,0.7405865685899834,0.7228604570618761,0.7419289462245445
2004,SSP245,114,136,0.03289408616333387,0.20956767943125454,0.7505887797684184,0.7935056289421978,0.6728847555087225
2005,SSP245,117,139,1.1498844153595498,0.14563261719498805,0.5888020868226314,0.7077382251915283,0.6083269802071644
2006,SSP245,114,136,0.20357042398412695,0.18595529849172177,0.7165531404659957,0.7817049863152897,0.6496478960574436
2007,SSP245,115,137,0.5336040054570937,0.35754238402105337,0.8242003104319366,0.7575316848579392,0.7976333943004956
2008,SSP245,116,138,0.363233729978833,0.16346066339548637,0.6819104803559393,0.7702326407108592,0.626828376948042
2009,SSP245,117,139,1.2801831774465064,0.4172139195066295,0.8173763865028011,0.6964731086995278,0.8366905650075964
2010,SSP245,115,137,0.7708485946744851,0.27762355622571994,0.7494669108336034,0.7390655827716586,0.7350403221496667
2011,SSP245,115,137,1.2976165025005724,0.2690527160289168,0.6985366615733057,0.6949474230867905,0.7276399216744942
2012,SSP245,114,136,1.0364068536415947,0.45542907327384347,0.8541333000060621,0.7173462417936353,0.8583620992601086
2013,SSP245,116,138,0.44686731023440873,0.32311901392379333,0.8068458996416188,0.7640568328468018,0.772114098182805
2014,SSP245,117,139,0.8029075692725932,0.2751260928571152,0.74489012040282,0.7365016562001865,0.7328972430375148
2015,SSP245,112,134,0.329541821733845,0.20013281781652856,0.7186262220818854,0.7726882943376774,0.6636936140701108
2016,SSP245,112,134,0.3617441063478346,0.1968028666583919,0.7129409837987636,0.7703416050331627,0.6604194144827847
2017,SSP245,112,134,0.410215597038193,0.27838667003279555,0.7769898984389161,0.7667773705677606,0.7356929541292018
2018,SSP245,113,135,0.011531458163333829,0.20124280153590765,0.7453570030505855,0.7949489257069172,0.6647815480562703
2019,SSP245,116,138,0.6448365088431044,0.16544582658591742,0.6581082704008118,0.7489858682940191,0.6288668320119075
