year,scenario,iceOut,eggMass,temperatureIndex,precipitationIndex,survivorship,meanAprilTemp,tempStart,tempEnd,precipStart,precipEnd
2040,SSP126,116,138,1.9533370367006242,0.39652919165371786,0.7557443164637004,3.1836281755431335,116,138,128,148
2041,SSP126,109,131,1.0707927310249523,0.22244657723904263,0.6746488707788877,5.248173581543134,109,131,121,141
2042,SSP126,107,129,0.8644944051910324,0.36350268387141504,0.8075971980184637,6.049272131543133,107,129,119,139
2043,SSP126,107,129,1.4794992547562495,0.2611236980822997,0.6748718189196411,5.843071907943133,107,129,119,139
2044,SSP126,116,138,2.034541560526711,0.23141037348597815,0.5915236261183248,3.186476525943134,116,138,128,148
2045,SSP126,112,134,0.728414691514962,0.3535708274666333,0.8095486217712445,4.196013289143133,112,134,124,144
2046,SSP126,111,133,1.3958460385980023,0.35106347187308806,0.7613590799283242,4.640254224743134,111,133,123,143
2047,SSP126,114,136,1.961711406914099,0.2841971736068165,0.6530240335746498,3.5810747831431335,114,136,126,146
2048,SSP126,109,131,0.4479744217601664,0.12579874679983052,0.6369198950024091,5.204939691543133,109,131,121,141
2049,SSP126,113,135,1.5145708583449655,0.25879975090716534,0.6694263346819861,4.094083035543133,113,135,125,145
2050,SSP126,113,135,1.5823739819971396,0.45434330607177587,0.8230165352203992,4.006801441143133,113,135,125,145
2051,SSP126,109,131,0.972604254503213,0.2768178867974676,0.732790101002349,5.398627518743133,109,131,121,141
2052,SSP126,108,130,0.29712423545190225,0.31371569680053196,0.8100327779864476,5.425076486743134,108,130,120,140
2053,SSP126,113,135,1.3577346701710524,0.25780377354639805,0.6826659290866387,3.8783204927431334,113,135,125,145
2054,SSP126,115,137,1.5597870078310592,0.1945592111374682,0.5997876581747552,3.3191282731431335,115,137,127,147
2055,SSP126,111,133,1.2184433452066978,0.1880853582924605,0.6265023804171821,4.735470509543133,111,133,123,143
2056,SSP126,107,129,0.8789723834045073,0.24248977910696837,0.7102646919112136,5.810621058743133,107,129,119,139
2057,SSP126,109,131,0.3752467932858218,0.29266298117336315,0.7900798302351986,5.403713858743133,109,131,121,141
2058,SSP126,112,134,1.0195302556888752,0.35420015382096653,0.7907576899816381,4.4138103679431335,112,134,124,144
2059,SSP126,112,134,1.8561226130801796,0.21132483004377414,0.5880125958982922,4.280853440343134,112,134,124,144
2060,SSP126,106,128,0.772307011531026,0.5465806412471583,0.9069675170879355,6.143369421543134,106,128,118,138
2061,SSP126,108,130,0.2535877756732097,0.2727434339579572,0.7838355378490156,5.585194469943133,108,130,120,140
2062,SSP126,112,134,1.4611130257758318,0.4456813211462857,0.8247666858052188,4.330190938343133,112,134,124,144
2063,SSP126,109,131,2.5367201480684303,0.31756241519262524,0.6321103357055823,5.111452762343133,109,131,121,141
2064,SSP126,108,130,0.3931897178866847,0.2730456916489117,0.7741293855696427,5.619171221143134,108,130,120,140
2065,SSP126,109,131,0.8829077543293001,0.3048863396919087,0.7630108941812297,5.198327449543133,109,131,121,141
2066,SSP126,112,134,1.542848298123658,0.17812558468475298,0.5840354832878585,4.364371143143133,112,134,124,144
2067,SSP126,107,129,1.2844491730171195,0.24195366345167013,0.6740784984967734,5.775932219943134,107,129,119,139
2068,SSP126,108,130,0.6885512702345108,0.2816159936440173,0.7590244379844423,5.602081118743133,108,130,120,140
2069,SSP126,111,133,1.4925749566849589,0.19356323377670132,0.6053933129510416,4.683996748743133,111,133,123,143
2070,SSP126,110,132,1.2342481947245207,0.32503224539840725,0.7526041548881778,5.078289825543133,110,132,122,142
2071,SSP126,111,133,0.8731914318153936,0.26527360375217424,0.7308989357043336,4.741472390743133,111,133,123,143
2072,SSP126,109,131,0.6864131951514706,0.2271064346761607,0.7127275916479305,5.421109141543134,109,131,121,141
2073,SSP126,110,132,1.8525702225506075,0.16218994691242522,0.5352639433765958,4.961914366343134,110,132,122,142
2074,SSP126,108,130,1.2832399078471228,0.24620758334996365,0.6782813322710836,5.602589752743133,108,130,120,140
2075,SSP126,110,132,0.9802850270723468,0.30677266045094614,0.7571821508077943,4.9336343159431335,110,132,122,142
2076,SSP126,113,135,1.8313101196888752,0.28730002615383193,0.6681661275447203,4.017686208743133,113,135,125,145
2077,SSP126,109,131,1.559744806677126,0.20877104193923154,0.6146864346457453,5.406053575143133,109,131,121,141
2078,SSP126,110,132,1.4750753364636513,0.2578037735463958,0.6720655171885203,5.097923097943133,110,132,122,142
2079,SSP126,110,132,1.5395612818549553,0.3280755095563143,0.7310011202965155,5.051739130743134,110,132,122,142
2080,SSP126,112,134,0.9640821161632196,0.2437695470991736,0.7041439595633086,4.267832409943134,112,134,124,144
2081,SSP126,110,132,1.289578728115825,0.25424671154364126,0.6853769873165975,4.9461467123431335,110,132,122,142
